Doc	Demand_Value	Decision_Value	Evidentiary_Count	Difference	Percentage
0100264-67.2019.5.01.0014.pdf	4216.65	0.0	3	-4216.65	0.0
0100112-05.2019.5.01.0051.pdf	4665.98	0.0	5	-4665.98	0.0
0010058-90.2013.5.01.0022.pdf	28000.0	7500.0	2	-20500.0	0.26785714285714285
0100214-84.2019.5.01.0226.pdf	9127.71	0.0	3	-9127.71	0.0
0100204-91.2019.5.01.0015.pdf	18432.01	0.0	2	-18432.01	0.0
0100347-97.2019.5.01.0074.pdf	22488.68	20000.0	13	-2488.6800000000003	0.8893363238749451
0100348-82.2019.5.01.0074.pdf	30000.0	20000.0	20	-10000.0	0.6666666666666666
0100418-82.2019.5.01.0015.pdf	23498.63	0.0	3	-23498.63	0.0
0100383-18.2019.5.01.0082.pdf	28630.17	0.0	3	-28630.17	0.0
0100201-30.2019.5.01.0018.pdf	16428.91	10000.0	21	-6428.91	0.6086831080089915
0100518-40.2019.5.01.0014.pdf	32125.02	0.0	3	-32125.02	0.0
0100089-65.2016.5.01.0471.pdf	34420.66	8794.94	5	-25625.72	0.2555134038684906
0101344-41.2018.5.01.0066.pdf	39000.0	12000.0	4	-27000.0	0.3076923076923077
0100115-41.2019.5.01.0024.pdf	7625.58	1000.0	4	-6625.58	0.13113756592941128
0100236-30.2019.5.01.0037.pdf	14124.62	18125.39	21	4000.7699999999986	1.28324797410479
0101335-79.2018.5.01.0066.pdf	28329.45	8000.0	13	-20329.45	0.2823916454431696
0100378-20.2019.5.01.0074.pdf	5000.68	10000.0	12	4999.32	1.9997280369869697
0100013-59.2019.5.01.0043.pdf	14621.46	6976.78	17	-7644.679999999999	0.4771602835831716
0010075-75.2013.5.01.0039(1).pdf	31000.0	4000.0	10	-27000.0	0.12903225806451613
0100250-17.2019.5.01.0521.pdf	4095.69	0.0	1	-4095.69	0.0
0011328-06.2013.5.01.0005.pdf	9078.46	5000.0	8	-4078.459999999999	0.5507542028053216
0100064-73.2019.5.01.0042.pdf	5074.5	0.0	2	-5074.5	0.0
0100124-23.2019.5.01.0082.pdf	12395.02	5343.54	14	-7051.4800000000005	0.43110378200277205
0100205-93.2019.5.01.0074.pdf	9622.66	6000.0	11	-3622.66	0.6235282136124523
0100225-08.2019.5.01.0067.pdf	4665.98	6126.11	30	1460.13	1.3129310455681336
0100364-53.2019.5.01.0521.pdf	6172.26	0.0	5	-6172.26	0.0
0100131-11.2019.5.01.0051.pdf	9219.0	6500.0	14	-2719.0	0.7050656253389739
0100224-93.2019.5.01.0076.pdf	20592.03	6500.0	19	-14092.029999999999	0.31565610578461667
0010231-68.2013.5.01.0005.pdf	8879.6	7000.0	7	-1879.6000000000004	0.7883237983692959
0100338-59.2019.5.01.0067.pdf	10400.0	7000.0	9	-3400.0	0.6730769230769231
0101240-48.2018.5.01.0034.pdf	39000.0	7000.0	8	-32000.0	0.1794871794871795
0100116-66.2019.5.01.0043.pdf	17112.97	8665.1	15	-8447.87	0.5063469403616088
0100066-09.2019.5.01.0021.pdf	7944.49	0.0	7	-7944.49	0.0
0100075-32.2019.5.01.0033.pdf	14246.05	8000.0	13	-6246.049999999999	0.5615591690328197
0100413-55.2019.5.01.0049.pdf	14924.94	8000.0	15	-6924.9400000000005	0.5360155551714111
0101302-07.2018.5.01.0061.pdf	8846.79	8714.49	17	-132.3000000000011	0.9850454232552145
0010936-66.2013.5.01.0005.pdf	40000.0	9461.45	8	-30538.55	0.23653625000000003
0100121-72.2019.5.01.0501.pdf	21795.12	9751.0	14	-12044.119999999999	0.4473937285043625
0100292-84.2019.5.01.0030.pdf	11486.43	10000.0	10	-1486.4300000000003	0.8705925165608461
0101346-58.2018.5.01.0018.pdf	14324.07	10000.0	12	-4324.07	0.6981256025696607
0100346-40.2019.5.01.0001.pdf	18218.86	10000.0	16	-8218.86	0.5488817631838655
0100034-39.2019.5.01.0074.pdf	20000.0	10000.0	10	-10000.0	0.5
0100060-70.2019.5.01.0063.pdf	30050.0	10000.0	12	-20050.0	0.33277870216306155
0100123-86.2019.5.01.0066.pdf	58000.0	10000.0	19	-48000.0	0.1724137931034483
0100175-31.2019.5.01.0471.pdf	22383.0	11418.88	13	-10964.12	0.5101586025108341
0010071-43.2013.5.01.0005.pdf	30000.0	10694.72	12	-19305.28	0.3564906666666666
0100109-51.2019.5.01.0471.pdf	14834.0	11688.35	15	-3145.6499999999996	0.7879432385061346
0100121-68.2019.5.01.0082.pdf	11670.59	5448.2	11	-6222.39	0.46683158263635344
0010548-67.2013.5.01.0037.pdf	50000.0	10958.79	11	-39041.21	0.2191758
