Doc	Demand_Value	Defense_Lawyer	Plaintiff's_Attorney	Judge	Decision_Value	Evidentiary_Count	Difference	Percentage
0100264-67.2019.5.01.0014.pdf	4216.65	Not identified	Other	MARCO ANTONIO BELCHIOR SILVEIRA	0.0	3	-4216.65	0.0
0100112-05.2019.5.01.0051.pdf	4665.98	Not identified	RJ71617	ALESSANDRA JAPPONE ROCHA MAGALHAES	0.0	5	-4665.98	0.0
0010058-90.2013.5.01.0022.pdf	28000.0	RJ182612	Other	PAULO CESAR MOREIRA SANTOS JUNIOR	7500.0	2	-20500.0	0.26785714285714285
0100214-84.2019.5.01.0226.pdf	9127.71	Not identified	Other	MARCELO RIBEIRO SILVA	0.0	3	-9127.71	0.0
0100204-91.2019.5.01.0015.pdf	18432.01	Not identified	RJ151426	CARLOS EDUARDO DINIZ MAUDONET	0.0	2	-18432.01	0.0
0100347-97.2019.5.01.0074.pdf	22488.68	RJ83276	RJ165814	ALVARO ANTONIO BORGES FARIA	20000.0	13	-2488.6800000000003	0.8893363238749451
0100348-82.2019.5.01.0074.pdf	30000.0	RJ83276	Other	ALVARO ANTONIO BORGES FARIA	20000.0	20	-10000.0	0.6666666666666666
0100418-82.2019.5.01.0015.pdf	23498.63	Not identified	Other	CARLOS EDUARDO DINIZ MAUDONET	0.0	3	-23498.63	0.0
0100383-18.2019.5.01.0082.pdf	28630.17	Not identified	Other	JOSE MATEUS ALEXANDRE ROMANO	0.0	3	-28630.17	0.0
0100201-30.2019.5.01.0018.pdf	16428.91	Not identified	Not identified	MARCOS DIAS CASTRO MARISA BARROSR	10000.0	21	-6428.91	0.6086831080089915
0100518-40.2019.5.01.0014.pdf	32125.02	Not identified	Other	MARCO ANTONIO BELCHIOR SILVEIRA	0.0	3	-32125.02	0.0
0100089-65.2016.5.01.0471.pdf	34420.66	RJ120213	RJ122895	LUANA LOBOSCO FOLLY PIRAZZO	8794.94	5	-25625.72	0.2555134038684906
0101344-41.2018.5.01.0066.pdf	39000.0	RJ83276	RJ162143	ADRIANA PAULA DOMINGUES TEIXEIRA	12000.0	4	-27000.0	0.3076923076923077
0100115-41.2019.5.01.0024.pdf	7625.58	Not identified	Other	JOSE HORTA SOUZA MIRANDA	1000.0	4	-6625.58	0.13113756592941128
0100236-30.2019.5.01.0037.pdf	14124.62	RJ83276	RJ165814	MARCIA REGINA LEAL CAMPOS	18125.39	21	4000.7699999999986	1.28324797410479
0101335-79.2018.5.01.0066.pdf	28329.45	RJ83276	Other	ADRIANA PAULA DOMINGUES TEIXEIRA	8000.0	13	-20329.45	0.2823916454431696
0100378-20.2019.5.01.0074.pdf	5000.68	RJ83276	Other	ALVARO ANTONIO BORGES FARIA	10000.0	12	4999.32	1.9997280369869697
0100013-59.2019.5.01.0043.pdf	14621.46	RJ83276	RJ162143	EDUARDO HENRIQUE ELGARTEN ROCHA	6976.78	17	-7644.679999999999	0.4771602835831716
0010075-75.2013.5.01.0039(1).pdf	31000.0	RJ187853	Other	MARIA LET CIA GON ALVES	4000.0	10	-27000.0	0.12903225806451613
0100250-17.2019.5.01.0521.pdf	4095.69	Not identified	Other	RODRIGO DIAS PEREIRA	0.0	1	-4095.69	0.0
0011328-06.2013.5.01.0005.pdf	9078.46	RJ83276	Other	ELISA TORRES SANVICENTE	5000.0	8	-4078.459999999999	0.5507542028053216
0100064-73.2019.5.01.0042.pdf	5074.5	Not identified	Other	Not identified	0.0	2	-5074.5	0.0
0100124-23.2019.5.01.0082.pdf	12395.02	RJ83276	RJ214809	JOSE MATEUS ALEXANDRE ROMANO	5343.54	14	-7051.4800000000005	0.43110378200277205
