Decision_Value,Median,Average
"25,000.00","10,000.00","12,117.71"
"10,000.00",,
"13,256.11",,
"20,000.00",,
"20,000.00",,
"20,000.00",,
"44,231.19",,
"48,313.29",,
"11,418.88",,
"11,688.35",,
"20,000.00",,
"10,000.00",,
"20,000.00",,
"20,000.00",,
"10,000.00",,
"6,000.00",,
0.00,,
0.00,,
0.00,,
0.00,,
"5,343.54",,
"5,448.20",,
0.00,,
"32,049.32",,
"40,128.75",,
"8,794.94",,
0.00,,
"18,125.39",,
0.00,,
0.00,,
"50,000.00",,
"7,000.00",,
"10,000.00",,
"10,000.00",,
"12,000.00",,
"4,000.00",,
0.00,,
"10,000.00",,
"12,670.78",,
"11,979.77",,
"10,694.72",,
"9,461.45",,
"25,000.00",,
"63,961.39",,
"15,000.00",,
"12,000.00",,
"8,000.00",,
"6,500.00",,
0.00,,
"11,990.47",,
"15,000.00",,
"15,000.00",,
"10,000.00",,
0.00,,
0.00,,
"8,714.49",,
"7,000.00",,
"6,976.78",,
"8,665.10",,
"5,000.00",,
"16,471.00",,
"9,751.00",,
"7,000.00",,
"15,000.00",,
"6,126.11",,
"15,000.00",,
"8,000.00",,
"12,000.00",,
"1,000.00",,
"17,000.00",,
0.00,,
"6,500.00",,
0.00,,
"7,500.00",,
0.00,,
"30,000.00",,
"22,575.45",,
"22,523.75",,
"10,958.79",,
0.00,,
0.00,,
"10,000.00",,
"11,012.18",,
"11,409.28",,
"8,000.00",,
"20,000.00",,
0.00,,
