Doc	Decision_Value	Median	Average	Doc_Index
0100253-77.2019.5.01.0001.pdf	25000	10000	12117.70655	1
0100346-40.2019.5.01.0001.pdf	10000	10000	12117.70655	2
0100259-84.2019.5.01.0001.pdf	13256.11	10000	12117.70655	3
0100308-28.2019.5.01.0001.pdf	20000	10000	12117.70655	4
0100255-47.2019.5.01.0001.pdf	20000	10000	12117.70655	5
0100251-10.2019.5.01.0001.pdf	20000	10000	12117.70655	6
0103193-31.2017.5.01.0471.pdf	44231.19	10000	12117.70655	7
0103104-08.2017.5.01.0471.pdf	48313.29	10000	12117.70655	8
0100175-31.2019.5.01.0471.pdf	11418.88	10000	12117.70655	9
0100109-51.2019.5.01.0471.pdf	11688.35	10000	12117.70655	10
0100348-82.2019.5.01.0074.pdf	20000	10000	12117.70655	11
0100034-39.2019.5.01.0074.pdf	10000	10000	12117.70655	12
0100347-97.2019.5.01.0074.pdf	20000	10000	12117.70655	13
0100324-54.2019.5.01.0074.pdf	20000	10000	12117.70655	14
0100378-20.2019.5.01.0074.pdf	10000	10000	12117.70655	15
0100205-93.2019.5.01.0074.pdf	6000	10000	12117.70655	16
0100352-25.2019.5.01.0073.pdf	0	10000	12117.70655	17
0100242-26.2019.5.01.0073.pdf	0	10000	12117.70655	18
0100506-43.2019.5.01.0073.pdf	0	10000	12117.70655	19
0100383-18.2019.5.01.0082.pdf	0	10000	12117.70655	20
0100124-23.2019.5.01.0082.pdf	5343.54	10000	12117.70655	21
0100121-68.2019.5.01.0082.pdf	5448.2	10000	12117.70655	22
0100168-42.2019.5.01.0082.pdf	0	10000	12117.70655	23
0102669-34.2017.5.01.0471.pdf	32049.32	10000	12117.70655	24
0102668-49.2017.5.01.0471.pdf	40128.75	10000	12117.70655	25
0100089-65.2016.5.01.0471.pdf	8794.94	10000	12117.70655	26
0100214-84.2019.5.01.0226.pdf	0	10000	12117.70655	27
0100236-30.2019.5.01.0037.pdf	18125.39	10000	12117.70655	28
0100518-40.2019.5.01.0014.pdf	0	10000	12117.70655	29
0100264-67.2019.5.01.0014.pdf	0	10000	12117.70655	30
0010529-60.2013.5.01.0005.pdf	50000	10000	12117.70655	31
0010231-68.2013.5.01.0005.pdf	7000	10000	12117.70655	32
0101346-58.2018.5.01.0018.pdf	10000	10000	12117.70655	33
0100201-30.2019.5.01.0018.pdf	10000	10000	12117.70655	34
0010696-45.2013.5.01.0242.pdf	12000	10000	12117.70655	35
0010075-75.2013.5.01.0039(1).pdf	4000	10000	12117.70655	36
0100330-94.2019.5.01.0063.pdf	0	10000	12117.70655	37
0100060-70.2019.5.01.0063.pdf	10000	10000	12117.70655	38
0101696-22.2017.5.01.0005.pdf	12670.78	10000	12117.70655	39
0010687-18.2013.5.01.0005.pdf	11979.77	10000	12117.70655	40
0010071-43.2013.5.01.0005.pdf	10694.72	10000	12117.70655	41
0010936-66.2013.5.01.0005.pdf	9461.45	10000	12117.70655	42
0100343-44.2017.5.01.0005.pdf	25000	10000	12117.70655	43
0101546-41.2017.5.01.0005.pdf	63961.39	10000	12117.70655	44
0100014-17.2019.5.01.0052.pdf	15000	10000	12117.70655	45
0101344-41.2018.5.01.0066.pdf	12000	10000	12117.70655	46
0101335-79.2018.5.01.0066.pdf	8000	10000	12117.70655	47
0100131-11.2019.5.01.0051.pdf	6500	10000	12117.70655	48
0100112-05.2019.5.01.0051.pdf	0	10000	12117.70655	49
0101096-19.2018.5.01.0020.pdf	11990.47	10000	12117.70655	50
0100308-50.2019.5.01.0026.pdf	15000	10000	12117.70655	51
0100353-54.2019.5.01.0026.pdf	15000	10000	12117.70655	52
0100292-84.2019.5.01.0030.pdf	10000	10000	12117.70655	53
0100418-82.2019.5.01.0015.pdf	0	10000	12117.70655	54
0100204-91.2019.5.01.0015.pdf	0	10000	12117.70655	55
0101302-07.2018.5.01.0061.pdf	8714.49	10000	12117.70655	56
0101240-48.2018.5.01.0034.pdf	7000	10000	12117.70655	57
0100013-59.2019.5.01.0043.pdf	6976.78	10000	12117.70655	58
0100116-66.2019.5.01.0043.pdf	8665.1	10000	12117.70655	59
0011328-06.2013.5.01.0005.pdf	5000	10000	12117.70655	60
0100123-64.2019.5.01.0041.pdf	16471	10000	12117.70655	61
0100121-72.2019.5.01.0501.pdf	9751	10000	12117.70655	62
0100338-59.2019.5.01.0067.pdf	7000	10000	12117.70655	63
0100262-09.2019.5.01.0011.pdf	15000	10000	12117.70655	64
0100225-08.2019.5.01.0067.pdf	6126.11	10000	12117.70655	65
0100240-56.2019.5.01.0073.pdf	15000	10000	12117.70655	66
0100413-55.2019.5.01.0049.pdf	8000	10000	12117.70655	67
0100061-40.2019.5.01.0068.pdf	12000	10000	12117.70655	68
0100115-41.2019.5.01.0024.pdf	1000	10000	12117.70655	69
0100136-46.2019.5.01.0079 (1).pdf	17000	10000	12117.70655	70
0100189-56.2019.5.01.0522.pdf	0	10000	12117.70655	71
0100224-93.2019.5.01.0076.pdf	6500	10000	12117.70655	72
0100530-79.2019.5.01.0038.pdf	0	10000	12117.70655	73
0010058-90.2013.5.01.0022.pdf	7500	10000	12117.70655	74
0100066-09.2019.5.01.0021.pdf	0	10000	12117.70655	75
0100313-94.2019.5.01.0051.pdf	30000	10000	12117.70655	76
0100335-61.2019.5.01.0049.pdf	22575.45	10000	12117.70655	77
0100367-66.2019.5.01.0049.pdf	22523.75	10000	12117.70655	78
0010548-67.2013.5.01.0037.pdf	10958.79	10000	12117.70655	79
0100364-53.2019.5.01.0521.pdf	0	10000	12117.70655	80
0100250-17.2019.5.01.0521.pdf	0	10000	12117.70655	81
0100123-86.2019.5.01.0066.pdf	10000	10000	12117.70655	82
0100085-07.2019.5.01.0056.pdf	11012.18	10000	12117.70655	83
0010859-60.2013.5.01.0004.pdf	11409.28	10000	12117.70655	84
0100075-32.2019.5.01.0033.pdf	8000	10000	12117.70655	85
0010059-32.2013.5.01.0004.pdf	20000	10000	12117.70655	86
0100064-73.2019.5.01.0042.pdf	0	10000	12117.70655	87
