Difference	Defense_Lawyer	Doc_Index
-25625.72	Other	26
-17000	Other	35
-27000	Other	36
-25329.22	Other	39
-11771.97	Other	40
-20500	Other	74
-195.12	RJ83276	1
-8218.86	RJ83276	2
-2890.01	RJ83276	3
1957.9	RJ83276	4
5708.72	RJ83276	5
5499.68	RJ83276	6
-10964.12	RJ83276	9
-3145.65	RJ83276	10
-10000	RJ83276	11
-10000	RJ83276	11
-2488.68	RJ83276	13
-24892.79	RJ83276	14
4999.32	RJ83276	15
-3622.66	RJ83276	16
-7051.48	RJ83276	21
-6222.39	RJ83276	22
4000.77	RJ83276	28
0	RJ83276	31
-1879.6	RJ83276	32
-4324.07	RJ83276	33
-20050	RJ83276	38
-30538.55	RJ83276	42
-15000	RJ83276	43
23961.39	RJ83276	44
-25000	RJ83276	45
-27000	RJ83276	36
-20329.45	RJ83276	47
-2719	RJ83276	48
-23195.79	RJ83276	50
-3479.11	RJ83276	51
-8950	RJ83276	52
-1486.43	RJ83276	53
-132.3	RJ83276	56
-32000	RJ83276	57
-7644.68	RJ83276	58
-8447.87	RJ83276	59
-4078.46	RJ83276	60
0	RJ83276	31
-12044.12	RJ83276	62
-3400	RJ83276	63
-2207.68	RJ83276	64
1460.13	RJ83276	65
-6828.18	RJ83276	66
-6924.94	RJ83276	67
-6209.46	RJ83276	68
-6563.16	RJ83276	70
-14092.03	RJ83276	72
844.9	RJ83276	76
-2780.31	RJ83276	77
2671.31	RJ83276	78
-48000	RJ83276	82
3067.68	RJ83276	83
-6246.05	RJ83276	85
-8000	RJ83276	86
-24706.8	Not Identified	7
-20624.7	Not Identified	8
-12520.29	Not Identified	17
-23651.9	Not Identified	18
-12512.31	Not Identified	19
-28630.17	Not Identified	20
-17676.16	Not Identified	23
-34628.08	Not Identified	24
-28809.24	Not Identified	25
-9127.71	Not Identified	27
-32125.02	Not Identified	29
-4216.65	Not Identified	30
-6428.91	Not Identified	34
-18470	Not Identified	37
-19305.28	Not Identified	41
-4665.98	Not Identified	49
-23498.63	Not Identified	54
-18432.01	Not Identified	55
-6625.58	Not Identified	69
-23763.18	Not Identified	71
-40000	Not Identified	73
-7944.49	Not Identified	75
-39041.21	Not Identified	79
-6172.26	Not Identified	80
-4095.69	Not Identified	81
-26490.72	Not Identified	84
-5074.5	Not Identified	87
