Doc_Index	Defense_Lawyer	Proportion
1	RJ83276	-0.007744357
2	RJ83276	-0.451118237
3	RJ83276	-0.17899099
3	RJ83276	0.10851841
5	RJ83276	0.399454772
4	RJ83276	0.379279906
7	Unidentified	-0.35839165
5	RJ83276	-0.299177565
9	RJ83276	-0.489841397
6	RJ83276	-0.212056761
11	RJ83276	-0.333333333
7	Unidentified	-0.5
13	RJ83276	-0.110663676
8	Unidentified	-0.554494163
15	RJ83276	0.999728037
9	RJ83276	-0.376471786
17	Unidentified	-1
10	RJ83276	-1
19	Unidentified	-1
11	RJ83276	-1
21	RJ83276	-0.568896218
12	#N/A	-0.533168417
23	Unidentified	-1
13	RJ83276	-0.519337587
25	Unidentified	-0.417900783
14	RJ83276	-0.744486596
27	Unidentified	-1
15	RJ83276	0.283247974
29	Unidentified	-1
16	RJ83276	-1
31	RJ83276	0
17	Unidentified	-0.211676202
33	RJ83276	-0.301874397
18	Unidentified	-0.391316892
35	Other	-0.586206897
19	Unidentified	-0.870967742
37	Unidentified	-1
20	Unidentified	-0.667221298
39	Other	-0.666558421
21	RJ83276	-0.495625584
41	Unidentified	-0.643509333
22	RJ83276	-0.76346375
43	RJ83276	-0.375
23	Unidentified	0.59903475
45	RJ83276	-0.625
24	Unidentified	-0.692307692
47	RJ83276	-0.717608355
25	Unidentified	-0.294934375
49	Unidentified	-1
26	Other	-0.659228631
51	RJ83276	-0.188272595
27	Unidentified	-0.373695198
53	RJ83276	-0.129407483
28	RJ83276	-1
55	Unidentified	-1
29	Unidentified	-0.014954577
57	RJ83276	-0.820512821
30	Unidentified	-0.522839716
59	RJ83276	-0.49365306
31	RJ83276	-0.449245797
61	#N/A	0
32	RJ83276	-0.552606271
63	RJ83276	-0.326923077
33	RJ83276	-0.128296203
65	RJ83276	0.312931046
34	Unidentified	-0.312814903
67	RJ83276	-0.463984445
35	Other	-0.341001875
69	Unidentified	-0.868862434
36	Other	-0.278534798
71	Unidentified	-1
37	Unidentified	-0.684343894
73	Unidentified	-1
38	RJ83276	-0.732142857
75	Unidentified	-1
39	Other	0.028979492
77	RJ83276	-0.109652008
40	Other	0.134558271
79	Unidentified	-0.7808242
41	Unidentified	-1
81	Unidentified	-1
42	RJ83276	-0.827586207
83	RJ83276	0.386138838
43	RJ83276	-0.698963588
85	RJ83276	-0.438440831
44	RJ83276	-0.285714286
87	Unidentified	-1
