Difference	Median	Average	Doc_Index
-195.12	-8000	-11741.78828	1
-8218.86	-8000	-11741.78828	2
-2890.01	-8000	-11741.78828	3
1957.9	-8000	-11741.78828	4
5708.72	-8000	-11741.78828	5
5499.68	-8000	-11741.78828	6
-24706.8	-8000	-11741.78828	7
-20624.7	-8000	-11741.78828	8
-10964.12	-8000	-11741.78828	9
-3145.65	-8000	-11741.78828	10
-10000	-8000	-11741.78828	11
-10000	-8000	-11741.78828	12
-2488.68	-8000	-11741.78828	13
-24892.79	-8000	-11741.78828	14
4999.32	-8000	-11741.78828	15
-3622.66	-8000	-11741.78828	16
-12520.29	-8000	-11741.78828	17
-23651.9	-8000	-11741.78828	18
-12512.31	-8000	-11741.78828	19
-28630.17	-8000	-11741.78828	20
-7051.48	-8000	-11741.78828	21
-6222.39	-8000	-11741.78828	22
-17676.16	-8000	-11741.78828	23
-34628.08	-8000	-11741.78828	24
-28809.24	-8000	-11741.78828	25
-25625.72	-8000	-11741.78828	26
-9127.71	-8000	-11741.78828	27
4000.77	-8000	-11741.78828	28
-32125.02	-8000	-11741.78828	29
-4216.65	-8000	-11741.78828	30
0	-8000	-11741.78828	31
-1879.6	-8000	-11741.78828	32
-4324.07	-8000	-11741.78828	33
-6428.91	-8000	-11741.78828	34
-17000	-8000	-11741.78828	35
-27000	-8000	-11741.78828	36
-18470	-8000	-11741.78828	37
-20050	-8000	-11741.78828	38
-25329.22	-8000	-11741.78828	39
-11771.97	-8000	-11741.78828	40
-19305.28	-8000	-11741.78828	41
-30538.55	-8000	-11741.78828	42
-15000	-8000	-11741.78828	43
23961.39	-8000	-11741.78828	44
-25000	-8000	-11741.78828	45
-27000	-8000	-11741.78828	46
-20329.45	-8000	-11741.78828	47
-2719	-8000	-11741.78828	48
-4665.98	-8000	-11741.78828	49
-23195.79	-8000	-11741.78828	50
-3479.11	-8000	-11741.78828	51
-8950	-8000	-11741.78828	52
-1486.43	-8000	-11741.78828	53
-23498.63	-8000	-11741.78828	54
-18432.01	-8000	-11741.78828	55
-132.3	-8000	-11741.78828	56
-32000	-8000	-11741.78828	57
-7644.68	-8000	-11741.78828	58
-8447.87	-8000	-11741.78828	59
-4078.46	-8000	-11741.78828	60
0	-8000	-11741.78828	61
-12044.12	-8000	-11741.78828	62
-3400	-8000	-11741.78828	63
-2207.68	-8000	-11741.78828	64
1460.13	-8000	-11741.78828	65
-6828.18	-8000	-11741.78828	66
-6924.94	-8000	-11741.78828	67
-6209.46	-8000	-11741.78828	68
-6625.58	-8000	-11741.78828	69
-6563.16	-8000	-11741.78828	70
-23763.18	-8000	-11741.78828	71
-14092.03	-8000	-11741.78828	72
-40000	-8000	-11741.78828	73
-20500	-8000	-11741.78828	74
-7944.49	-8000	-11741.78828	75
844.9	-8000	-11741.78828	76
-2780.31	-8000	-11741.78828	77
2671.31	-8000	-11741.78828	78
-39041.21	-8000	-11741.78828	79
-6172.26	-8000	-11741.78828	80
-4095.69	-8000	-11741.78828	81
-48000	-8000	-11741.78828	82
3067.68	-8000	-11741.78828	83
-26490.72	-8000	-11741.78828	84
-6246.05	-8000	-11741.78828	85
-8000	-8000	-11741.78828	86
-5074.5	-8000	-11741.78828	87
