Doc;Summary;Requested_Value;Defense_Lawyer;Accusation_Lawyer;Juiz;Decision_Value;Num_of_Evidences;;Incorrect and fixed;
0100253-77.2019.5.01.0001.pdf;['Petição Inicial', 'Documento Diverso', 'Procuração', 'Declaração de Hipossuficiência', 'Carteira de Trabalho e Previdência Social  (CTPS)', 'Documento Diverso', 'Documento Diverso', 'Documento Diverso', 'Contracheque/Recibo de Salário', 'Documento Diverso', 'Documento Diverso', 'Documento Diverso', 'Documento Diverso', 'Documento Diverso', 'Documento Diverso', 'Manifestação', 'Intimação', 'Notificação', 'Intimação', 'Manifestação', 'Substabelecimento com Reserva de Poderes', 'Contestação', 'Documento Diverso', 'Documento Diverso', 'Manifestação', 'Certidão', 'Solicitação de Habilitação', 'Procuração', 'Contrato Social', 'Cadastro Nacional de Pessoa Jurídica (CNPJ)', 'Substabelecimento com Reserva de Poderes', 'Contestação', 'Atestado de Saúde Ocupacional (ASO)', 'Documento Diverso', 'Documento Diverso', 'Contrato de Trabalho de Experiência', 'Contracheque/Recibo de Salário', 'Recibo de Entrega de Equipamento de Proteção Individual (EPI)', 'Recibo de Férias', 'Recibo de Férias', 'Ficha de Registro de Empregado', 'Cartão de Ponto/Controle de Frequência', 'Ata da Audiência', 'Certidão', 'Sentença', 'Notificação'];25195,12;['RJ83276'];Other;ADRIANA MALHEIRO ROCHA LIMA;25000;10;;x;
0100346-40.2019.5.01.0001.pdf;['Petição Inicial', 'Carteira de Identidade/Registro Geral (RG)', 'Carteira de Trabalho e Previdência Social  (CTPS)', 'Documento Diverso', 'Declaração de Hipossuficiência', 'Procuração', 'Documento Diverso', 'Documento Diverso', 'Extrato de FGTS', 'Decisão', 'Intimação', 'Notificação', 'Intimação', 'Contestação', 'Documento Diverso', 'Contrato', 'Documento Diverso', 'Solicitação de Habilitação', 'Contrato Social', 'Cadastro Nacional de Pessoa Jurídica (CNPJ)', 'Fotografia', 'Substabelecimento com Reserva de Poderes', 'Contestação', 'Atestado de Saúde Ocupacional (ASO)', 'Contracheque/Recibo de Salário', 'Contrato de Trabalho de Experiência', 'Contracheque/Recibo de Salário', 'Recibo de Entrega de Equipamento de Proteção Individual (EPI)', 'Ficha de Registro de Empregado', 'Recibo de Férias', 'Ficha de Registro de Empregado', 'Cartão de Ponto/Controle de Frequência', 'Cartão de Ponto/Controle de Frequência', 'Contracheque/Recibo de Salário', 'Ata da Audiência', 'Sentença', 'Intimação', 'Intimação', 'Intimação', 'Intimação'];18218,86;['RJ83276'];['RJ165814'];ADRIANA MALHEIRO ROCHA LIMA;10000;16;;x;
0100259-84.2019.5.01.0001.pdf;['Petição Inicial', 'Carteira de Identidade/Registro Geral (RG)', 'Documento Diverso', 'Documento Diverso', 'Procuração', 'Declaração de Hipossuficiência', 'Carteira de Trabalho e Previdência Social  (CTPS)', 'Contracheque/Recibo de Salário', 'Documento Diverso', 'Intimação', 'Notificação', 'Intimação', 'Contestação', 'Documento Diverso', 'Documento Diverso', 'Documento Diverso', 'Certidão', 'Solicitação de Habilitação', 'Procuração', 'Contrato Social', 'Cadastro Nacional de Pessoa Jurídica (CNPJ)', 'Substabelecimento com Reserva de Poderes', 'Contestação', 'Atestado de Saúde Ocupacional (ASO)', 'Documento Diverso', 'Recibo de Férias', 'Recibo de Férias', 'Documento Diverso', 'Contrato de Trabalho de Experiência', 'Contracheque/Recibo de Salário', 'Recibo de Entrega de Equipamento de Proteção Individual (EPI)', 'Ficha de Registro de Empregado', 'Cartão de Ponto/Controle de Frequência', 'Ata da Audiência', 'Manifestação', 'Despacho', 'Notificação', 'Razões Finais', 'Sentença', 'Intimação', 'Intimação', 'Intimação'];16146,12;['RJ83276'];['RJ165814'];ADRIANA MALHEIRO ROCHA LIMA;13256,11;11;;x;
0100308-28.2019.5.01.0001.pdf;['Petição Inicial', 'Cadastro de Pessoas Físicas (CPF)', 'Documento Diverso', 'Procuração', 'Declaração de Hipossuficiência', 'Contracheque/Recibo de Salário', 'Extrato de FGTS', 'Certidão', 'Intimação', 'Notificação', 'Intimação', 'Contestação', 'Documento Diverso', 'Contrato', 'Contrato', 'Contrato', 'Manifestação', 'Carteira de Trabalho e Previdência Social  (CTPS)', 'Solicitação de Habilitação', 'Contrato Social', 'Procuração', 'Cadastro Nacional de Pessoa Jurídica (CNPJ)', 'Substabelecimento com Reserva de Poderes', 'Contestação', 'Atestado de Saúde Ocupacional (ASO)', 'Contracheque/Recibo de Salário', 'Contrato de Trabalho de Experiência', 'Contracheque/Recibo de Salário', 'Contracheque/Recibo de Salário', 'Recibo de Entrega de Equipamento de Proteção Individual (EPI)', 'Ficha de Registro de Empregado', 'Cartão de Ponto/Controle de Frequência', 'Cartão de Ponto/Controle de Frequência', 'Recibo de Entrega de Vale Refeição', 'Recibo de Entrega de Vale Transporte', 'Ata da Audiência', 'Certidão', 'Sentença', 'Intimação', 'Intimação', 'Intimação', 'Intimação'];18042,1;['RJ83276'];Other;ADRIANA MALHEIRO ROCHA LIMA;20000;17;;x;
0100255-47.2019.5.01.0001.pdf;['Petição Inicial', 'Procuração', 'Declaração de Hipossuficiência', 'Documento Diverso', 'Documento Diverso', 'Documento Diverso', 'Documento Diverso', 'Documento Diverso', 'Documento Diverso', 'Carteira de Trabalho e Previdência Social  (CTPS)', 'Carteira de Trabalho e Previdência Social  (CTPS)', 'Carteira de Trabalho e Previdência Social  (CTPS)', 'Extrato de FGTS', 'Decisão', 'Ofício', 'Intimação', 'Notificação', 'Intimação', 'Certidão', 'Contestação', 'Documento Diverso', 'Documento Diverso', 'Certidão', 'Solicitação de Habilitação', 'Procuração', 'Contrato Social', 'Cadastro Nacional de Pessoa Jurídica (CNPJ)', 'Substabelecimento com Reserva de Poderes', 'Contestação', 'Atestado de Saúde Ocupacional (ASO)', 'Documento Diverso', 'Recibo de Férias', 'Recibo de Férias', 'Documento Diverso', 'Contrato de Trabalho de Experiência', 'Contracheque/Recibo de Salário', 'Recibo de Entrega de Equipamento de Proteção Individual (EPI)', 'Ficha de Registro de Empregado', 'Cartão de Ponto/Controle de Frequência', 'Ata da Audiência', 'Certidão', 'Documento Diverso', 'Intimação', 'Sentença', 'Notificação'];14291,28;['RJ83276'];Other;ADRIANA MALHEIRO ROCHA LIMA;20000;12;;x;
0100251-10.2019.5.01.0001.pdf;['Petição Inicial', 'Procuração', 'Declaração de Hipossuficiência', 'Carteira de Trabalho e Previdência Social  (CTPS)', 'Contracheque/Recibo de Salário', 'Extrato de FGTS', 'Certidão', 'Intimação', 'Notificação', 'Intimação', 'Contestação', 'Documento Diverso', 'Documento Diverso', 'Documento Diverso', 'Certidão', 'Solicitação de Habilitação', 'Procuração', 'Contrato Social', 'Cadastro Nacional de Pessoa Jurídica (CNPJ)', 'Substabelecimento com Reserva de Poderes', 'Contestação', 'Documento Diverso', 'Recibo de Férias', 'Recibo de Férias', 'Documento Diverso', 'Contrato de Trabalho de Experiência', 'Contracheque/Recibo de Salário', 'Ficha de Registro de Empregado', 'Cartão de Ponto/Controle de Frequência', 'Ata da Audiência', 'Certidão', 'Razões Finais', 'Razões Finais', 'Sentença', 'Notificação', 'Intimação', 'Intimação', 'Intimação', 'Intimação'];14500,32;['RJ83276'];['RJ165814'];ADRIANA MALHEIRO ROCHA LIMA;20000;9;;x;
0103193-31.2017.5.01.0471.pdf;['Petição em PDF', 'Petição Inicial', 'Procuração', 'Declaração de Hipossuficiência', 'Documento de Identificação', 'Documento Diverso', 'CTPS', 'Recibo de Salário', 'Recibo de Salário', 'Recibo de Salário', 'Recibo de Salário', 'Documento Diverso', 'Decisão', 'Intimação', 'Notificação', 'Certidão', 'Intimação', 'Intimação', 'Ata da Audiência', 'Mandado', 'Certidão', 'Despacho', 'Notificação', 'Manifestação', 'Despacho', 'Edital', 'Tutela Antecipada Incidental', 'Documento Diverso', 'Ata da Audiência', 'Manifestação', 'Contrato Social', 'Contrato Social', 'Contrato Social', 'Jurisprudência', 'Jurisprudência', 'Jurisprudência', 'Jurisprudência', 'Jurisprudência', 'Jurisprudência', 'Jurisprudência', 'Jurisprudência', 'Jurisprudência', 'Jurisprudência', 'Jurisprudência', 'Procuração', 'Contrato Social', 'Cadastro Nacional de Pessoa Jurídica (CNPJ)', 'Certidão'];68937,99;[];['RJ122895'];ALINE SOUZA TINOCO GOMES MELO;44231,19;6;;x;
0103104-08.2017.5.01.0471.pdf;['Petição em PDF', 'Petição Inicial', 'Procuração', 'Declaração de Hipossuficiência', 'Documento de Identificação', 'CTPS', 'Recibo de Salário', 'Decisão', 'Intimação', 'Notificação', 'Certidão', 'Intimação', 'Intimação', 'Ata da Audiência', 'Mandado', 'Certidão', 'Despacho', 'Notificação', 'Manifestação', 'Despacho', 'Edital', 'Tutela Antecipada Incidental', 'Documento Diverso', 'Ata da Audiência', 'Despacho', 'Ofício', 'Certidão', 'Planilha de Cálculos', 'Sentença', 'Contrato Social', 'Contrato Social', 'Jurisprudência', 'Jurisprudência', 'Jurisprudência', 'Jurisprudência', 'Jurisprudência', 'Jurisprudência', 'Jurisprudência', 'Jurisprudência', 'Jurisprudência', 'Jurisprudência', 'Jurisprudência', 'Certidão'];68937,99;[];['RJ122895'];ALINE SOUZA TINOCO GOMES MELO;48313,29;4;;x;
0100175-31.2019.5.01.0471.pdf;['Petição Inicial', 'Carteira de Identidade/Registro Geral (RG)', 'Procuração', 'Declaração de Hipossuficiência', 'Contracheque/Recibo de Salário', 'Documento Diverso', 'Extrato de FGTS', 'Documento Diverso', 'Documento Diverso', 'Decisão', 'Intimação', 'Notificação', 'Manifestação', 'Documento Diverso', 'Certidão', 'Intimação', 'Notificação', 'Solicitação de Habilitação', 'Procuração', 'Contrato Social', 'Cadastro Nacional de Pessoa Jurídica (CNPJ)', 'Contestação', 'Atestado de Saúde Ocupacional (ASO)', 'Documento Diverso', 'Recibo de Férias', 'Documento Diverso', 'Contrato de Trabalho de Experiência', 'Contracheque/Recibo de Salário', 'Recibo de Entrega de Equipamento de Proteção Individual (EPI)', 'Extrato de FGTS', 'Ficha de Registro de Empregado', 'Cartão de Ponto/Controle de Frequência', 'Documento Diverso', 'Termo de Rescisão de Contrato de Trabalho (TRCT)', 'Ata da Audiência', 'Certidão', 'Planilha de Cálculos', 'Sentença', 'Intimação', 'Intimação'];22383;['RJ83276'];Other;ALINE SOUZA TINOCO GOMES MELO;11418,88;13;;x;
0100109-51.2019.5.01.0471.pdf;['Petição Inicial', 'Declaração de Hipossuficiência', 'Documento Diverso', 'Carteira de Trabalho e Previdência Social  (CTPS)', 'Documento Diverso', 'Extrato de FGTS', 'Procuração', 'Documento Diverso', 'Carteira de Identidade/Registro Geral (RG)', 'Contracheque/Recibo de Salário', 'Decisão', 'Intimação', 'Notificação', 'Manifestação', 'Documento Diverso', 'Fotografia', 'Certidão', 'Intimação', 'Notificação', 'Solicitação de Habilitação', 'Procuração', 'Contrato Social', 'Cadastro Nacional de Pessoa Jurídica (CNPJ)', 'Contestação', 'Atestado de Saúde Ocupacional (ASO)', 'Documento Diverso', 'Recibo de Férias', 'Documento Diverso', 'Contracheque/Recibo de Salário', 'Recibo de Entrega de Equipamento de Proteção Individual (EPI)', 'Contrato de Trabalho de Experiência', 'Extrato de FGTS', 'Ficha de Registro de Empregado', 'Cartão de Ponto/Controle de Frequência', 'Documento Diverso', 'Termo de Rescisão de Contrato de Trabalho (TRCT)', 'Ata da Audiência', 'Certidão', 'Planilha de Cálculos', 'Sentença', 'Intimação', 'Intimação'];14834;['RJ83276'];Other;ALINE SOUZA TINOCO GOMES MELO;11688,35;15;;x;
