All Cases,0100264-67.2019.5.01.0014.pdf,0100112-05.2019.5.01.0051.pdf,0010058-90.2013.5.01.0022.pdf,0100214-84.2019.5.01.0226.pdf,0100204-91.2019.5.01.0015.pdf,0100347-97.2019.5.01.0074.pdf,0100348-82.2019.5.01.0074.pdf,0100418-82.2019.5.01.0015.pdf,0100383-18.2019.5.01.0082.pdf,0100201-30.2019.5.01.0018.pdf,0100518-40.2019.5.01.0014.pdf,0100089-65.2016.5.01.0471.pdf,0101344-41.2018.5.01.0066.pdf,0100115-41.2019.5.01.0024.pdf,0100236-30.2019.5.01.0037.pdf,0101335-79.2018.5.01.0066.pdf,0100378-20.2019.5.01.0074.pdf,0100013-59.2019.5.01.0043.pdf,0010075-75.2013.5.01.0039(1).pdf,0100250-17.2019.5.01.0521.pdf,0011328-06.2013.5.01.0005.pdf,0100064-73.2019.5.01.0042.pdf,0100124-23.2019.5.01.0082.pdf,0100205-93.2019.5.01.0074.pdf,0100225-08.2019.5.01.0067.pdf,0100364-53.2019.5.01.0521.pdf,0100131-11.2019.5.01.0051.pdf,0100224-93.2019.5.01.0076.pdf,0010231-68.2013.5.01.0005.pdf,0100338-59.2019.5.01.0067.pdf,0101240-48.2018.5.01.0034.pdf,0100116-66.2019.5.01.0043.pdf,0100066-09.2019.5.01.0021.pdf,0100075-32.2019.5.01.0033.pdf,0100413-55.2019.5.01.0049.pdf,0101302-07.2018.5.01.0061.pdf,0010936-66.2013.5.01.0005.pdf,0100121-72.2019.5.01.0501.pdf,0100292-84.2019.5.01.0030.pdf,0101346-58.2018.5.01.0018.pdf,0100346-40.2019.5.01.0001.pdf,0100034-39.2019.5.01.0074.pdf,0100060-70.2019.5.01.0063.pdf,0100123-86.2019.5.01.0066.pdf,0100175-31.2019.5.01.0471.pdf,0010071-43.2013.5.01.0005.pdf,0100109-51.2019.5.01.0471.pdf,0100121-68.2019.5.01.0082.pdf,0010548-67.2013.5.01.0037.pdf,0100085-07.2019.5.01.0056.pdf,0010859-60.2013.5.01.0004.pdf,0010687-18.2013.5.01.0005.pdf,0101096-19.2018.5.01.0020.pdf,0100061-40.2019.5.01.0068.pdf,0010696-45.2013.5.01.0242.pdf,0100259-84.2019.5.01.0001.pdf,0100506-43.2019.5.01.0073.pdf,0100352-25.2019.5.01.0073.pdf,0101696-22.2017.5.01.0005.pdf,0100262-09.2019.5.01.0011.pdf,0100308-50.2019.5.01.0026.pdf,0100240-56.2019.5.01.0073.pdf,0100353-54.2019.5.01.0026.pdf,0100014-17.2019.5.01.0052.pdf,0100123-64.2019.5.01.0041.pdf,0100136-46.2019.5.01.0079 (1).pdf,0100168-42.2019.5.01.0082.pdf,0100330-94.2019.5.01.0063.pdf,0100255-47.2019.5.01.0001.pdf,0100251-10.2019.5.01.0001.pdf,0100308-28.2019.5.01.0001.pdf,0100335-61.2019.5.01.0049.pdf,0010059-32.2013.5.01.0004.pdf,0100367-66.2019.5.01.0049.pdf,0100242-26.2019.5.01.0073.pdf,0100189-56.2019.5.01.0522.pdf,0100253-77.2019.5.01.0001.pdf,0100343-44.2017.5.01.0005.pdf,0100313-94.2019.5.01.0051.pdf,0102669-34.2017.5.01.0471.pdf,0100530-79.2019.5.01.0038.pdf,0102668-49.2017.5.01.0471.pdf,0103193-31.2017.5.01.0471.pdf,0100324-54.2019.5.01.0074.pdf,0103104-08.2017.5.01.0471.pdf,0010529-60.2013.5.01.0005.pdf,0101546-41.2017.5.01.0005.pdf
0100012-58.2019.5.01.0016.pdf,0.4375,0.75,0.6875,0.375,0.25,0.6875,0.5625,0.3125,0.5,0.875,0.375,0.6875,0.5,0.4375,0.875,0.75,0.875,0.9375,0.6875,0.6875,0.8125,0.375,0.75,0.875,0.875,0.5625,0.75,0.8125,0.8125,0.75,0.8125,0.75,0.5,0.8125,0.75,0.8125,0.8125,0.75,0.6875,0.75,0.6875,0.8125,0.75,0.8125,0.8125,0.6875,0.8125,0.75,0.8125,0.9375,0.625,0.75,0.75,0.75,0.75,0.875,0.4375,0.25,0.8125,0.6875,0.6875,0.8125,0.75,0.75,0.8125,0.9375,0.3125,0.375,0.6875,0.6875,0.75,0.75,0.6875,0.75,0.3125,0.6875,0.75,0.75,0.875,0.6875,0.5,0.6875,0.8125,0.875,0.75,0.6875,0.8125
0100113-32.2019.5.01.0522.pdf,0.390243902,0.682926829,0.780487805,0.487804878,0.097560976,0.634146341,0.390243902,0.146341463,0.43902439,0.951219512,0.341463415,0.780487805,0.512195122,0.390243902,0.853658537,0.585365854,0.731707317,0.902439024,0.829268293,0.682926829,0.853658537,0.341463415,0.56097561,0.756097561,0.756097561,0.56097561,0.536585366,0.780487805,0.902439024,0.634146341,0.682926829,0.634146341,0.512195122,0.707317073,0.731707317,0.756097561,0.87804878,0.585365854,0.585365854,0.87804878,0.609756098,0.87804878,0.731707317,0.682926829,0.731707317,0.804878049,0.731707317,0.634146341,0.829268293,0.87804878,0.756097561,0.829268293,0.634146341,0.585365854,0.829268293,0.853658537,0.390243902,0.243902439,0.780487805,0.609756098,0.609756098,0.731707317,0.707317073,0.634146341,0.756097561,0.902439024,0.170731707,0.268292683,0.634146341,0.609756098,0.756097561,0.756097561,0.731707317,0.780487805,0.146341463,0.731707317,0.731707317,0.829268293,0.829268293,0.804878049,0.536585366,0.780487805,0.87804878,0.926829268,0.829268293,0.707317073,0.926829268
0100240-58.2019.5.01.0040.pdf,0.977272727,1,1,0.954545455,0.045454545,0.977272727,0.045454545,0.045454545,0.977272727,1,0.977272727,1,0.977272727,0.977272727,1,0.977272727,1,1,1,1,1,0.977272727,0.977272727,1,1,0.977272727,0.977272727,1,1,0.977272727,0.977272727,0.977272727,0.977272727,0.977272727,0.977272727,0.977272727,1,0.977272727,0.977272727,0.977272727,0.977272727,1,0.977272727,0.977272727,0.977272727,1,0.977272727,0.977272727,1,1,1,1,0.977272727,0.977272727,1,1,0.977272727,0.022727273,1,0.977272727,0.977272727,0.977272727,0.977272727,0.977272727,1,1,0.045454545,0.045454545,0.977272727,0.977272727,0.977272727,0.977272727,1,0.977272727,0.045454545,1,0.977272727,1,1,1,0.977272727,1,1,1,1,1,1
0100236-20.2019.5.01.0008.pdf,0.666666667,0.862745098,0.745098039,0.745098039,0.078431373,0.882352941,0.254901961,0.117647059,0.705882353,0.941176471,0.705882353,0.745098039,0.745098039,0.705882353,0.960784314,0.901960784,0.921568627,1,0.745098039,0.784313725,0.745098039,0.705882353,0.901960784,0.921568627,0.941176471,0.803921569,0.901960784,1,0.745098039,0.941176471,0.921568627,0.921568627,0.823529412,0.980392157,0.921568627,0.960784314,0.745098039,0.901960784,0.843137255,0.941176471,0.882352941,0.901960784,0.941176471,0.941176471,0.980392157,0.745098039,0.980392157,0.862745098,0.745098039,1,0.745098039,0.745098039,0.921568627,0.921568627,0.745098039,0.921568627,0.745098039,0.078431373,0.745098039,0.882352941,0.823529412,0.980392157,0.901960784,0.921568627,0.843137255,1,0.039215686,0.098039216,0.882352941,0.843137255,0.921568627,0.941176471,0.745098039,0.941176471,0.156862745,0.862745098,0.901960784,0.745098039,0.960784314,0.745098039,0.803921569,0.745098039,0.745098039,0.960784314,0.745098039,0.745098039,0.784313725
0100450-63.2019.5.01.0023.pdf,0.972972973,1,1,0.945945946,0.054054054,0.972972973,0.054054054,0.054054054,0.972972973,1,0.972972973,1,0.972972973,0.972972973,1,0.972972973,1,1,1,1,1,0.972972973,0.972972973,1,1,0.972972973,0.972972973,1,1,0.972972973,0.972972973,0.972972973,0.972972973,0.972972973,0.972972973,0.972972973,1,0.972972973,0.972972973,0.972972973,0.972972973,1,0.972972973,0.972972973,0.972972973,1,0.972972973,0.972972973,1,1,1,1,0.972972973,0.972972973,1,1,0.972972973,0.027027027,1,0.972972973,0.972972973,0.972972973,0.972972973,0.972972973,1,1,0.054054054,0.054054054,0.972972973,0.972972973,0.972972973,0.972972973,1,0.972972973,0.054054054,1,0.972972973,1,1,1,0.972972973,1,1,1,1,1,1
0100001-81.2019.5.01.0031.pdf,0.461538462,0.769230769,0.538461538,0.538461538,0.230769231,0.846153846,0.769230769,0.538461538,0.384615385,0.846153846,0.384615385,0.769230769,0.923076923,0.461538462,0.923076923,0.846153846,0.769230769,0.923076923,0.769230769,0.538461538,0.769230769,0.307692308,0.769230769,0.923076923,0.846153846,0.461538462,0.846153846,0.846153846,0.769230769,0.384615385,0.692307692,0.846153846,0.461538462,0.692307692,0.846153846,0.846153846,0.846153846,0.846153846,0.769230769,0.769230769,0.769230769,0.923076923,0.769230769,0.769230769,0.769230769,0.769230769,0.846153846,0.846153846,0.846153846,1,0.461538462,0.769230769,0.923076923,0.846153846,0.846153846,0.923076923,0.461538462,0.615384615,0.692307692,0.846153846,0.769230769,0.769230769,0.769230769,0.846153846,0.846153846,0.923076923,0.384615385,0.384615385,0.846153846,0.846153846,0.923076923,0.846153846,0.846153846,0.846153846,0.384615385,1,0.846153846,0.769230769,0.846153846,0.846153846,0.307692308,0.538461538,0.846153846,0.923076923,0.846153846,0.769230769,0.846153846
0100116-73.2019.5.01.0073.pdf,0.322580645,0.451612903,0.35483871,0.35483871,0.161290323,0.870967742,0.741935484,0.35483871,0.419354839,0.774193548,0.322580645,0.290322581,0.612903226,0.451612903,0.870967742,0.838709677,0.838709677,0.935483871,0.35483871,0.258064516,0.387096774,0.290322581,0.903225806,0.935483871,0.870967742,0.419354839,0.903225806,0.838709677,0.419354839,0.741935484,0.774193548,0.935483871,0.483870968,0.903225806,0.838709677,0.935483871,0.419354839,0.806451613,0.709677419,0.806451613,0.870967742,0.774193548,0.774193548,0.838709677,0.838709677,0.322580645,0.870967742,0.806451613,0.387096774,0.903225806,0.258064516,0.35483871,0.967741935,0.935483871,0.387096774,0.774193548,0.451612903,0.193548387,0.387096774,0.838709677,0.741935484,0.935483871,0.741935484,0.967741935,0.774193548,0.903225806,0.193548387,0.193548387,0.838709677,0.774193548,0.838709677,0.870967742,0.322580645,0.870967742,0.35483871,0.548387097,0.741935484,0.322580645,0.838709677,0.322580645,0.387096774,0.322580645,0.387096774,0.903225806,0.35483871,0.35483871,0.548387097
0100250-17.2019.5.01.0521(1).pdf,0.636363636,0.954545455,0.909090909,0.727272727,0.090909091,0.681818182,0.181818182,0.181818182,0.636363636,0.909090909,0.590909091,0.909090909,0.727272727,0.636363636,0.909090909,0.727272727,0.818181818,0.954545455,0.909090909,1,0.909090909,0.590909091,0.681818182,0.818181818,0.818181818,0.863636364,0.727272727,0.909090909,0.909090909,0.818181818,0.818181818,0.727272727,0.772727273,0.818181818,0.818181818,0.863636364,0.909090909,0.727272727,0.681818182,0.909090909,0.636363636,0.909090909,0.818181818,0.818181818,0.863636364,0.909090909,0.863636364,0.727272727,0.909090909,1,0.909090909,0.909090909,0.772727273,0.727272727,0.909090909,0.909090909,0.636363636,0.227272727,0.863636364,0.681818182,0.681818182,0.818181818,0.772727273,0.727272727,0.727272727,0.954545455,0.136363636,0.272727273,0.681818182,0.681818182,0.863636364,0.818181818,0.909090909,0.818181818,0.136363636,0.954545455,0.818181818,0.909090909,0.863636364,0.909090909,0.772727273,0.909090909,0.909090909,0.909090909,0.909090909,0.863636364,0.909090909
0101292-11.2018.5.01.0045.pdf,0.9,0.7,0.7,0.7,0.3,0.9,0.5,0.5,0.8,0.7,0.8,0.6,0.9,0.9,0.9,0.9,0.7,1,0.6,0.7,0.6,0.6,1,1,0.9,0.9,1,1,0.6,0.8,0.8,1,0.9,0.9,0.9,1,0.7,0.9,0.8,0.9,0.9,0.9,0.7,1,0.9,0.6,1,0.9,0.7,1,0.6,0.6,1,1,0.7,0.9,0.8,0.4,0.6,0.9,0.8,1,0.8,1,0.9,0.9,0.5,0.5,0.8,0.8,0.8,0.9,0.7,0.9,0.4,0.8,0.8,0.6,0.8,0.7,0.6,0.7,0.7,0.9,0.7,0.7,0.7
0100340-82.2019.5.01.0017 (1).pdf,0.555555556,0.666666667,0.666666667,0.555555556,0.222222222,0.777777778,0.777777778,0.333333333,0.555555556,0.777777778,0.444444444,0.666666667,0.777777778,0.555555556,0.666666667,0.888888889,0.777777778,0.777777778,0.888888889,0.555555556,0.666666667,0.444444444,0.666666667,0.777777778,0.666666667,0.555555556,0.666666667,0.777777778,0.888888889,0.555555556,0.666666667,0.777777778,0.555555556,0.666666667,0.666666667,0.666666667,0.888888889,0.666666667,0.666666667,0.777777778,0.777777778,0.777777778,0.777777778,0.666666667,0.777777778,0.888888889,0.777777778,0.777777778,0.888888889,0.666666667,0.777777778,1,0.666666667,0.888888889,0.777777778,0.666666667,0.555555556,0.333333333,0.666666667,0.666666667,0.666666667,1,0.666666667,0.777777778,0.777777778,0.888888889,0.444444444,0.333333333,0.888888889,0.666666667,0.666666667,0.777777778,0.777777778,0.666666667,0.333333333,0.666666667,0.666666667,0.666666667,0.777777778,0.777777778,0.666666667,0.666666667,0.777777778,0.777777778,0.888888889,1,1
